		Вы родились воином.				Вы родились волшебником.

	Вас с самого детства учили держать оружее,	Вы в молодости поступили в академию волшебников
	а отец брал вас с собой ходил на охоту.		и с детства практиковались с матерью.
	В совершеннолетие вас взяли на защиту		Далее вы работали военным врачём, поэтому ваши
	деревни, поэтому у вас хороший опыт		товарищи по ремеслу научили вас боевым 
	ведения боя и крепкая рука.			заклинаниям.

	-У вас увеличенная выностивость.		-Вас научили восстанавливать себе большее количество 
		Вы имеете в 2 раза больше здоровья.		здоровья. Вы лечитесь в 2 раза эффективнее.

	   -Спрособность - Второе дыхание			   -Способность - Вампиризм
	(Каждый следующий удар будет наность на 	  (Вы следующие 5 ходов высасывает жизненные силы
	 10% урона больше + вы имеете блок первого  	  	из врага пропорциально нанесённому урону(10%) 
	       				    уровня).				+ вы имеете блок первого уровня.)
	


			Способности доступны для активации при понижении здоровья ниже 40%.
